,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,license,dateupload,datetaken,datetakengranularity,datetakenunknown,views,machine_tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,url_o,height_o,width_o,url_m,height_m,width_m,url_t,height_t,width_t,url_n,height_n,width_n
52701220083,52701220083,32368927@N02,ddebf9c969,65535,66,A Collision of Seasons,1,0,0,2,1676916560,2022-10-11 15:52:25,0,0,75,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701220083_0faff051f3_o.jpg,4473,7952,https://live.staticflickr.com/65535/52701220083_ddebf9c969.jpg,281,500,https://live.staticflickr.com/65535/52701220083_ddebf9c969_t.jpg,56,100,https://live.staticflickr.com/65535/52701220083_ddebf9c969_n.jpg,180,320
52700727766,52700727766,32368927@N02,ef33c1bef5,65535,66,A Collision of Seasons,1,0,0,2,1676916572,2022-10-11 15:53:09,0,0,155,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700727766_6c3db9c733_o.jpg,4834,7248,https://live.staticflickr.com/65535/52700727766_ef33c1bef5.jpg,333,500,https://live.staticflickr.com/65535/52700727766_ef33c1bef5_t.jpg,67,100,https://live.staticflickr.com/65535/52700727766_ef33c1bef5_n.jpg,213,320
52701146185,52701146185,32368927@N02,e5de7fa49c,65535,66,A Collision of Seasons,1,0,0,2,1676916561,2022-10-11 15:53:10,0,0,82,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701146185_aafdace2d1_o.jpg,5213,7816,https://live.staticflickr.com/65535/52701146185_e5de7fa49c.jpg,333,500,https://live.staticflickr.com/65535/52701146185_e5de7fa49c_t.jpg,67,100,https://live.staticflickr.com/65535/52701146185_e5de7fa49c_n.jpg,213,320
52059583708,52059583708,162684392@N05,b1544c4d79,65535,66,Change of weather,1,0,0,0,1652036166,2021-09-12 12:29:53,0,0,4895,,47.030895,12.629256,15,0,,2763849,1,0,0,0,https://live.staticflickr.com/65535/52059583708_855639a785_o.jpg,2160,3240,https://live.staticflickr.com/65535/52059583708_b1544c4d79.jpg,333,500,https://live.staticflickr.com/65535/52059583708_b1544c4d79_t.jpg,67,100,https://live.staticflickr.com/65535/52059583708_b1544c4d79_n.jpg,213,320
51882551340,51882551340,30883793@N06,74454be8fc,65535,66,"Winter in Osttirol, winter in Tyrol",1,0,0,0,1644863764,2022-02-05 18:00:12,0,0,500,,47.013080,12.639347,16,0,,2760803,1,0,0,0,https://live.staticflickr.com/65535/51882551340_b75ac0038b_o.jpg,3682,4909,https://live.staticflickr.com/65535/51882551340_74454be8fc.jpg,375,500,https://live.staticflickr.com/65535/51882551340_74454be8fc_t.jpg,75,100,https://live.staticflickr.com/65535/51882551340_74454be8fc_n.jpg,240,320
51585360915,51585360915,162684392@N05,df6e214ea7,65535,66,Nature,1,0,0,0,1634133788,2019-09-12 13:52:18,0,0,4516,,47.016502,12.638772,16,0,,2760803,1,0,0,0,https://live.staticflickr.com/65535/51585360915_64644fd076_o.jpg,2160,3840,https://live.staticflickr.com/65535/51585360915_df6e214ea7.jpg,281,500,https://live.staticflickr.com/65535/51585360915_df6e214ea7_t.jpg,56,100,https://live.staticflickr.com/65535/51585360915_df6e214ea7_n.jpg,180,320
51381320640,51381320640,44583112@N06,8632a522a3,65535,66,Begin of Dorfer Valley,1,0,0,0,1629055472,2021-08-05 17:37:45,0,0,91,,47.011066,12.643516,16,0,,2777880,1,0,0,0,https://live.staticflickr.com/65535/51381320640_c11fdce207_o.jpg,4912,7360,https://live.staticflickr.com/65535/51381320640_8632a522a3.jpg,334,500,https://live.staticflickr.com/65535/51381320640_8632a522a3_t.jpg,67,100,https://live.staticflickr.com/65535/51381320640_8632a522a3_n.jpg,214,320
51380154786,51380154786,44583112@N06,f862826c36,65535,66,Dabaklamm at Dorfer valley,1,0,0,0,1629051105,2021-08-12 10:42:48,0,0,89,,47.030405,12.625094,16,0,,2763849,1,0,0,0,https://live.staticflickr.com/65535/51380154786_417072af2f_o.jpg,6716,6190,https://live.staticflickr.com/65535/51380154786_f862826c36.jpg,500,461,https://live.staticflickr.com/65535/51380154786_f862826c36_t.jpg,100,92,https://live.staticflickr.com/65535/51380154786_f862826c36_n.jpg,320,295
51380392403,51380392403,44583112@N06,807b561937,65535,66,Dorfertal,1,0,0,0,1629051105,2021-08-12 11:00:59,0,0,95,,47.039297,12.624686,16,0,,2763849,1,0,0,0,https://live.staticflickr.com/65535/51380392403_1b5830b8f8_o.jpg,7252,9925,https://live.staticflickr.com/65535/51380392403_807b561937.jpg,365,500,https://live.staticflickr.com/65535/51380392403_807b561937_t.jpg,73,100,https://live.staticflickr.com/65535/51380392403_807b561937_n.jpg,234,320
51380154606,51380154606,44583112@N06,61534e25e6,65535,66,partially destroyed hut in the Dorfer valley.,1,0,0,6,1629051106,2021-08-12 11:11:59,0,0,100,,47.039297,12.624686,16,0,,2763849,1,0,0,0,https://live.staticflickr.com/65535/51380154606_95dabf959c_o.jpg,4871,9879,https://live.staticflickr.com/65535/51380154606_61534e25e6.jpg,247,500,https://live.staticflickr.com/65535/51380154606_61534e25e6_t.jpg,49,100,https://live.staticflickr.com/65535/51380154606_61534e25e6_n.jpg,158,320
51334426659,51334426659,70008341@N00,f77463983d,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209362,2021-07-06 10:02:34,0,0,224,,47.024163,12.690211,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334426659_9f29c9bd3c_o.jpg,3456,5184,https://live.staticflickr.com/65535/51334426659_f77463983d.jpg,333,500,https://live.staticflickr.com/65535/51334426659_f77463983d_t.jpg,67,100,https://live.staticflickr.com/65535/51334426659_f77463983d_n.jpg,213,320
51332972312,51332972312,70008341@N00,6c00a4a97e,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209363,2021-07-06 10:03:06,0,0,92,,47.024327,12.690491,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51332972312_55b456043e_o.jpg,3456,5184,https://live.staticflickr.com/65535/51332972312_6c00a4a97e.jpg,333,500,https://live.staticflickr.com/65535/51332972312_6c00a4a97e_t.jpg,67,100,https://live.staticflickr.com/65535/51332972312_6c00a4a97e_n.jpg,213,320
51332971912,51332971912,70008341@N00,157a0d5f13,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209364,2021-07-06 10:12:01,0,0,134,,47.027455,12.690569,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51332971912_0fd9bf9c7e_o.jpg,3456,5184,https://live.staticflickr.com/65535/51332971912_157a0d5f13.jpg,333,500,https://live.staticflickr.com/65535/51332971912_157a0d5f13_t.jpg,67,100,https://live.staticflickr.com/65535/51332971912_157a0d5f13_n.jpg,213,320
51334702005,51334702005,70008341@N00,df31e779bf,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209364,2021-07-06 10:33:07,0,0,110,,47.035263,12.692477,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334702005_88f54ecdec_o.jpg,3456,5184,https://live.staticflickr.com/65535/51334702005_df31e779bf.jpg,333,500,https://live.staticflickr.com/65535/51334702005_df31e779bf_t.jpg,67,100,https://live.staticflickr.com/65535/51334702005_df31e779bf_n.jpg,213,320
51332971387,51332971387,70008341@N00,64ed88e0d7,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209365,2021-07-06 10:38:18,0,0,108,,47.035622,12.693361,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51332971387_57cdefc600_o.jpg,3456,5184,https://live.staticflickr.com/65535/51332971387_64ed88e0d7.jpg,333,500,https://live.staticflickr.com/65535/51332971387_64ed88e0d7_t.jpg,67,100,https://live.staticflickr.com/65535/51332971387_64ed88e0d7_n.jpg,213,320
51334701070,51334701070,70008341@N00,cf6f498819,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209365,2021-07-06 10:53:58,0,0,89,,47.039358,12.690730,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334701070_8b1d00648e_o.jpg,3343,5015,https://live.staticflickr.com/65535/51334701070_cf6f498819.jpg,333,500,https://live.staticflickr.com/65535/51334701070_cf6f498819_t.jpg,67,100,https://live.staticflickr.com/65535/51334701070_cf6f498819_n.jpg,213,320
51334700710,51334700710,70008341@N00,bb75220b83,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209366,2021-07-06 10:54:07,0,0,123,,47.039358,12.690730,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334700710_7093055b00_o.jpg,3456,5184,https://live.staticflickr.com/65535/51334700710_bb75220b83.jpg,333,500,https://live.staticflickr.com/65535/51334700710_bb75220b83_t.jpg,67,100,https://live.staticflickr.com/65535/51334700710_bb75220b83_n.jpg,213,320
51334424024,51334424024,70008341@N00,4f89fdbf45,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209367,2021-07-06 11:04:58,0,0,98,,47.041419,12.690136,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334424024_11aa35c560_o.jpg,3456,5184,https://live.staticflickr.com/65535/51334424024_4f89fdbf45.jpg,333,500,https://live.staticflickr.com/65535/51334424024_4f89fdbf45_t.jpg,67,100,https://live.staticflickr.com/65535/51334424024_4f89fdbf45_n.jpg,213,320
51334699955,51334699955,70008341@N00,1d518efc71,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209367,2021-07-06 11:21:31,0,0,111,,47.045936,12.689355,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334699955_13354cc1b2_o.jpg,3456,5184,https://live.staticflickr.com/65535/51334699955_1d518efc71.jpg,333,500,https://live.staticflickr.com/65535/51334699955_1d518efc71_t.jpg,67,100,https://live.staticflickr.com/65535/51334699955_1d518efc71_n.jpg,213,320
51333916603,51333916603,70008341@N00,5c4695c6ec,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209368,2021-07-06 11:21:43,0,0,126,,47.045997,12.689352,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51333916603_95aaa9931a_o.jpg,3456,5184,https://live.staticflickr.com/65535/51333916603_5c4695c6ec.jpg,333,500,https://live.staticflickr.com/65535/51333916603_5c4695c6ec_t.jpg,67,100,https://live.staticflickr.com/65535/51333916603_5c4695c6ec_n.jpg,213,320
51332969087,51332969087,70008341@N00,7c349e29a8,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209369,2021-07-06 11:22:53,0,0,83,,47.046286,12.689361,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51332969087_db2f87ca32_o.jpg,3456,5184,https://live.staticflickr.com/65535/51332969087_7c349e29a8.jpg,333,500,https://live.staticflickr.com/65535/51332969087_7c349e29a8_t.jpg,67,100,https://live.staticflickr.com/65535/51332969087_7c349e29a8_n.jpg,213,320
51334695880,51334695880,70008341@N00,c674d290ae,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209376,2021-07-06 15:33:59,0,0,92,,47.046363,12.689075,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334695880_6e980d0646_o.jpg,3456,5184,https://live.staticflickr.com/65535/51334695880_c674d290ae.jpg,333,500,https://live.staticflickr.com/65535/51334695880_c674d290ae_t.jpg,67,100,https://live.staticflickr.com/65535/51334695880_c674d290ae_n.jpg,213,320
51334695620,51334695620,70008341@N00,c0b03047bb,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209377,2021-07-06 15:35:05,0,0,85,,47.046169,12.689213,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334695620_26d62a88a9_o.jpg,3456,5184,https://live.staticflickr.com/65535/51334695620_c0b03047bb.jpg,333,500,https://live.staticflickr.com/65535/51334695620_c0b03047bb_t.jpg,67,100,https://live.staticflickr.com/65535/51334695620_c0b03047bb_n.jpg,213,320
51333697901,51333697901,70008341@N00,977e8ef0f9,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209378,2021-07-06 15:36:39,0,0,91,,47.045636,12.689227,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51333697901_572a0961ff_o.jpg,3456,5184,https://live.staticflickr.com/65535/51333697901_977e8ef0f9.jpg,333,500,https://live.staticflickr.com/65535/51333697901_977e8ef0f9_t.jpg,67,100,https://live.staticflickr.com/65535/51333697901_977e8ef0f9_n.jpg,213,320
51334695140,51334695140,70008341@N00,81cbfd7623,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209378,2021-07-06 15:40:33,0,0,107,,47.043341,12.689330,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334695140_13ec007810_o.jpg,3456,5184,https://live.staticflickr.com/65535/51334695140_81cbfd7623.jpg,333,500,https://live.staticflickr.com/65535/51334695140_81cbfd7623_t.jpg,67,100,https://live.staticflickr.com/65535/51334695140_81cbfd7623_n.jpg,213,320
51334694820,51334694820,70008341@N00,e62dee795e,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209379,2021-07-06 15:47:48,0,0,113,,47.039855,12.690538,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334694820_c77e21bffb_o.jpg,3456,5184,https://live.staticflickr.com/65535/51334694820_e62dee795e.jpg,333,500,https://live.staticflickr.com/65535/51334694820_e62dee795e_t.jpg,67,100,https://live.staticflickr.com/65535/51334694820_e62dee795e_n.jpg,213,320
51334418389,51334418389,70008341@N00,279a9ef13a,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209380,2021-07-06 15:52:15,0,0,123,,47.038686,12.691125,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334418389_5b4cd02bb7_o.jpg,3456,5184,https://live.staticflickr.com/65535/51334418389_279a9ef13a.jpg,333,500,https://live.staticflickr.com/65535/51334418389_279a9ef13a_t.jpg,67,100,https://live.staticflickr.com/65535/51334418389_279a9ef13a_n.jpg,213,320
51334694360,51334694360,70008341@N00,c7c7304d72,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209380,2021-07-06 15:57:32,0,0,95,,47.036666,12.692708,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334694360_0de46c9cdc_o.jpg,3456,5184,https://live.staticflickr.com/65535/51334694360_c7c7304d72.jpg,333,500,https://live.staticflickr.com/65535/51334694360_c7c7304d72_t.jpg,67,100,https://live.staticflickr.com/65535/51334694360_c7c7304d72_n.jpg,213,320
51333911123,51333911123,70008341@N00,2a85579e87,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209381,2021-07-06 16:14:40,0,0,127,,47.030641,12.690905,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51333911123_244f0606ec_o.jpg,3456,5184,https://live.staticflickr.com/65535/51333911123_2a85579e87.jpg,333,500,https://live.staticflickr.com/65535/51333911123_2a85579e87_t.jpg,67,100,https://live.staticflickr.com/65535/51333911123_2a85579e87_n.jpg,213,320
51334417674,51334417674,70008341@N00,d81ac8623e,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209381,2021-07-06 16:18:15,0,0,117,,47.029005,12.690572,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334417674_b6d36e17ed_o.jpg,3456,5184,https://live.staticflickr.com/65535/51334417674_d81ac8623e.jpg,333,500,https://live.staticflickr.com/65535/51334417674_d81ac8623e_t.jpg,67,100,https://live.staticflickr.com/65535/51334417674_d81ac8623e_n.jpg,213,320
51332963412,51332963412,70008341@N00,ee3e309c20,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209382,2021-07-06 16:19:33,0,0,185,,47.028863,12.690597,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51332963412_420c601d5c_o.jpg,3456,5184,https://live.staticflickr.com/65535/51332963412_ee3e309c20.jpg,333,500,https://live.staticflickr.com/65535/51332963412_ee3e309c20_t.jpg,67,100,https://live.staticflickr.com/65535/51332963412_ee3e309c20_n.jpg,213,320
51333910248,51333910248,70008341@N00,4a6e1588de,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209382,2021-07-06 16:29:18,0,0,136,,47.024680,12.690080,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51333910248_d4b1d07c93_o.jpg,3411,5117,https://live.staticflickr.com/65535/51333910248_4a6e1588de.jpg,333,500,https://live.staticflickr.com/65535/51333910248_4a6e1588de_t.jpg,67,100,https://live.staticflickr.com/65535/51333910248_4a6e1588de_n.jpg,213,320
50838743577,50838743577,52364154@N07,9a17073061,65535,66,DSC_0063,1,0,0,6,1610730764,2020-10-10 14:45:41,0,0,2,,47.017288,12.712827,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/50838743577_81b42fd943_o.jpg,3024,4032,https://live.staticflickr.com/65535/50838743577_9a17073061.jpg,500,375,https://live.staticflickr.com/65535/50838743577_9a17073061_t.jpg,100,75,https://live.staticflickr.com/65535/50838743577_9a17073061_n.jpg,320,240
50565747623,50565747623,162684392@N05,ebf2796895,65535,66,Ogre,1,0,0,0,1604501721,2019-09-12 14:36:36,0,0,3579,,47.023231,12.634191,16,0,,2763849,1,0,0,0,https://live.staticflickr.com/65535/50565747623_b3491184a0_o.jpg,2160,3840,https://live.staticflickr.com/65535/50565747623_ebf2796895.jpg,281,500,https://live.staticflickr.com/65535/50565747623_ebf2796895_t.jpg,56,100,https://live.staticflickr.com/65535/50565747623_ebf2796895_n.jpg,180,320
50400896187,50400896187,51809780@N04,8ceea22804,65535,66,Lucknerhütte,1,0,0,0,1601463357,2020-09-04 15:27:19,0,0,102,,47.029675,12.689541,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/50400896187_13c3841562_o.jpg,1080,1920,https://live.staticflickr.com/65535/50400896187_8ceea22804.jpg,281,500,https://live.staticflickr.com/65535/50400896187_8ceea22804_t.jpg,56,100,https://live.staticflickr.com/65535/50400896187_8ceea22804_n.jpg,180,320
